,k,silhouette_score,gap_stat,gap_se,permutation_p,k_selected_silhouette,k_selected_gap,k_gap_at_boundary
0,2,0.13343121111392975,0.4377728575865185,0.012309355748960074,,5,6,True
1,3,0.15267300605773926,0.5426799509962557,0.015989346744436254,,5,6,True
2,4,0.16363760828971863,0.6517101903329308,0.01448297588229522,,5,6,True
3,5,0.1780368536710739,0.7481163032784623,0.010751916886661926,0.24275724275724275,5,6,True
4,6,0.17721696197986603,0.8090577643910479,0.010473689590444108,,5,6,True
