,k,silhouette_score,gap_stat,gap_se,permutation_p,k_selected_silhouette,k_selected_gap,k_gap_at_boundary
0,2,0.11808611452579498,0.4690696386490467,0.017145228795138044,,4,6,True
1,3,0.13169528543949127,0.5746446453270972,0.016124168951453667,,4,6,True
2,4,0.13666954636573792,0.6337651875194665,0.011266253856575478,0.6373626373626373,4,6,True
3,5,0.143218994140625,0.7076767921014078,0.015893924081801725,,4,6,True
4,6,0.1574682593345642,0.7849548957552073,0.007920890255660468,,4,6,True
