,k,silhouette_score,gap_stat,gap_se,permutation_p,k_selected_silhouette,k_selected_gap,k_gap_at_boundary
0,2,0.12116347253322601,0.43797505802156955,0.012364284835983745,,4,6,True
1,3,0.14179201424121857,0.5331253236288833,0.02251829554130272,,4,6,True
2,4,0.15706613659858704,0.6370039414460456,0.021330903436172943,0.44455544455544455,4,6,True
3,5,0.17416653037071228,0.7426492225665853,0.016916689342310866,,4,6,True
4,6,0.16844390332698822,0.7959832557949542,0.02136704237664496,,4,6,True
