,k,silhouette_score,gap_stat,gap_se,permutation_p,k_selected_silhouette,k_selected_gap,k_gap_at_boundary
0,2,0.1176803782582283,0.38268044660065526,0.025311376480462836,,4,6,True
1,3,0.12888175249099731,0.4712524920579164,0.03130152151620196,,4,6,True
2,4,0.14594793319702148,0.5446744126823972,0.02636646454101116,0.8361638361638362,4,6,True
3,5,0.15025408565998077,0.5848384286392112,0.034093523089020465,,4,6,True
4,6,0.14349280297756195,0.6256229936397402,0.030774222438514028,,4,6,True
