,k,silhouette_score,gap_stat,gap_se,permutation_p,k_selected_silhouette,k_selected_gap,k_gap_at_boundary
0,2,0.1074516698718071,0.42188946843180153,0.019278842116511912,,4,6,True
1,3,0.11939728260040283,0.4948855109027406,0.01995762559706366,,4,6,True
2,4,0.12134255468845367,0.5565802768432659,0.016463522372254232,0.906093906093906,4,6,True
3,5,0.11728052794933319,0.6055856071263293,0.02165493221368774,,4,6,True
4,6,0.13355514407157898,0.6549891524176501,0.018454459151681275,,4,6,True
