,k,silhouette_score,gap_stat,gap_se,permutation_p,k_selected_silhouette,k_selected_gap,k_gap_at_boundary
0,2,0.06329014897346497,0.5153042946607749,0.009566972564420947,0.999000999000999,2,6,True
1,3,0.06053592637181282,0.5521248174191862,0.013559728438985594,,2,6,True
2,4,0.06276866048574448,0.5721554442648626,0.011859907979628392,,2,6,True
3,5,0.06382832676172256,0.6100230054175331,0.013058127182913402,,2,6,True
4,6,0.060506001114845276,0.620462678545942,0.009112854177487908,,2,6,True
