onset	duration	trial_type
35.061	8	Neutral - OBSERVAR
44.247	8	Neutral - OBSERVAR
53.213	8	Neutral - OBSERVAR
62.679	8	Neutral - OBSERVAR
110.642	8	Happy - INCREMENTAR
120.058	8	Happy - INCREMENTAR
128.991	8	Happy - INCREMENTAR
138.157	8	Happy - INCREMENTAR
187.604	8	Negativo - REDUCIR
196.253	8	Negativo - REDUCIR
205.203	8	Negativo - REDUCIR
214.652	8	Negativo - REDUCIR
260.116	8	Negativo - OBSERVAR
268.765	8	Negativo - OBSERVAR
278.214	8	Negativo - OBSERVAR
287.114	8	Negativo - OBSERVAR
331.076	8	Negativo - SUPRIMIR
340.143	8	Negativo - SUPRIMIR
349.093	8	Negativo - SUPRIMIR
358.542	8	Negativo - SUPRIMIR
406.372	8	Happy - SUPRIMIR
415.555	8	Happy - SUPRIMIR
424.204	8	Happy - SUPRIMIR
433.637	8	Happy - SUPRIMIR
477.334	8	Happy - OBSERVAR
486.533	8	Happy - OBSERVAR
495.449	8	Happy - OBSERVAR
503.965	8	Happy - OBSERVAR
547.662	8	Negativo - SUPRIMIR
556.845	8	Negativo - SUPRIMIR
565.795	8	Negativo - SUPRIMIR
574.444	8	Negativo - SUPRIMIR
617.674	8	Negativo - REDUCIR
626.307	8	Negativo - REDUCIR
635.257	8	Negativo - REDUCIR
644.706	8	Negativo - REDUCIR
690.62	8	Negativo - OBSERVAR
699.586	8	Negativo - OBSERVAR
709.035	8	Negativo - OBSERVAR
717.685	8	Negativo - OBSERVAR
765.432	8	Happy - INCREMENTAR
774.364	8	Happy - INCREMENTAR
782.997	8	Happy - INCREMENTAR
792.463	8	Happy - INCREMENTAR
837.844	8	Happy - OBSERVAR
847.293	8	Happy - OBSERVAR
855.943	8	Happy - OBSERVAR
865.142	8	Happy - OBSERVAR
910.556	8	Neutral - OBSERVAR
919.222	8	Neutral - OBSERVAR
928.055	8	Neutral - OBSERVAR
937.238	8	Neutral - OBSERVAR
985.384	8	Happy - SUPRIMIR
994.334	8	Happy - SUPRIMIR
1003.517	8	Happy - SUPRIMIR
1012.066	8	Happy - SUPRIMIR
1055.713	8	Happy - SUPRIMIR
1064.346	8	Happy - SUPRIMIR
1073.696	8	Happy - SUPRIMIR
1082.895	8	Happy - SUPRIMIR
1128.142	8	Happy - OBSERVAR
1137.575	8	Happy - OBSERVAR
1146.758	8	Happy - OBSERVAR
1155.707	8	Happy - OBSERVAR
1201.638	8	Negativo - SUPRIMIR
1211.137	8	Negativo - SUPRIMIR
1220.37	8	Negativo - SUPRIMIR
1229.302	8	Negativo - SUPRIMIR
1271.75	8	Negativo - OBSERVAR
1280.933	8	Negativo - OBSERVAR
1290.499	8	Negativo - OBSERVAR
1299.698	8	Negativo - OBSERVAR
1344.945	8	Happy - INCREMENTAR
1354.161	8	Happy - INCREMENTAR
1362.827	8	Happy - INCREMENTAR
1371.777	8	Happy - INCREMENTAR
1417.974	8	Negativo - REDUCIR
1427.173	8	Negativo - REDUCIR
1436.123	8	Negativo - REDUCIR
1444.672	8	Negativo - REDUCIR
1488.17	8	Neutral - OBSERVAR
1497.636	8	Neutral - OBSERVAR
1506.835	8	Neutral - OBSERVAR
1515.784	8	Neutral - OBSERVAR
