resample,ari
0,0.8305084745762712
1,1.0
2,0.5272586531018467
3,0.2963951935914553
4,0.8716981132075472
5,0.8521739130434782
6,0.41676792223572295
7,0.3269230769230769
8,0.7861635220125787
9,1.0
10,0.6901579586877278
11,1.0
12,0.7608767851212221
13,0.7154471544715447
14,1.0
15,1.0
16,1.0
17,0.757219930180895
18,0.6721346399659139
19,0.6222222222222222
20,0.6875675675675675
21,0.4074074074074074
22,0.87374749498998
23,0.7891181303633376
24,0.4101123595505618
25,1.0
26,0.7164179104477612
27,0.3619631901840491
28,0.7862314238536772
29,0.21122403888643393
30,0.7375596455351057
31,0.50920245398773
32,0.40184306059759844
33,0.3642483171278983
34,0.6867469879518072
35,0.8402276395141425
36,1.0
37,0.601427115188583
38,0.41061224489795917
39,1.0
40,0.563404255319149
41,0.22390063779791877
42,0.7163551918611081
43,0.7014218009478673
44,0.8008540372670807
45,0.8907045271899277
46,0.6508108108108108
47,0.6187617904304579
48,0.6489197530864198
49,0.8634548842161299
50,0.6267801604190538
51,0.7395498392282959
52,1.0
53,0.5178859168546568
54,0.5939849624060151
55,0.7260825780463243
56,0.7721179624664879
57,0.7104622871046229
58,1.0
59,0.6421052631578947
60,0.4484623183507942
61,0.8011695906432749
62,0.8521739130434782
63,0.7114735658042745
64,0.7054009819967266
65,0.6707441386340469
66,0.6089588377723971
67,0.7168627450980393
68,0.7848057152814079
69,0.8189431129078834
70,0.395112016293279
71,0.6841966405769062
72,0.8120649651972158
73,0.8289845960389814
74,0.45764542508872086
75,0.4977924944812362
76,0.6530612244897959
77,0.7675276752767528
78,0.7304582210242587
79,0.757527733755943
80,0.7787418655097614
81,0.8695652173913043
82,0.711211778029445
83,0.7493857493857494
84,1.0
85,0.7969924812030075
86,0.503731343283582
87,0.5957193816884662
88,0.35765472312703583
89,0.6681127982646421
90,0.6654719235364397
91,0.5649171270718232
92,0.852760736196319
93,0.729043183742591
94,0.8755933868063512
95,0.46922390722569135
96,0.7433877321328081
97,0.48695378811694434
98,0.7075268817204301
99,0.834307992202729
100,0.49352123333018066
101,0.43458980044345896
102,0.7606989111167384
103,0.3320079522862823
104,0.709775967413442
105,0.93625
106,0.6852300242130751
107,0.592964824120603
108,0.5856966707768188
109,0.7296137339055794
110,0.44734982332155476
111,0.8858858858858859
112,1.0
113,0.5721409039729773
114,0.7459677419354839
115,0.6161616161616161
116,0.5648464163822525
117,0.7514889009204114
118,0.5778781038374717
119,0.6405638214565388
120,0.8069400630914827
121,0.7986670084593694
122,0.5398363120093536
123,1.0
124,0.7088122605363985
125,0.4151084517576664
126,0.9153325631292293
127,0.5455124124761298
128,0.5730372223959962
129,0.4831272970263949
130,0.7132616487455197
131,0.45721583652618136
132,0.5511811023622047
133,0.9139622641509434
134,0.634414513468939
135,1.0
136,0.8189349112426035
137,0.8036253776435045
138,0.6792452830188679
139,0.8907922912205567
140,0.8071216617210683
141,0.7804555959062397
142,0.6056412985630655
143,0.25252525252525254
144,0.47533632286995514
145,0.33639494833524686
146,0.8446475195822454
147,1.0
148,0.4529250457038391
149,0.7078149028379701
150,0.39662016558920266
151,0.8722044728434505
152,0.7814230933106093
153,0.6807535641547862
154,0.7206053550640279
155,0.40372670807453415
156,0.6727066817667045
157,0.6450588455071923
158,0.5881802223522528
159,0.7308970099667774
160,0.4349775784753363
161,0.6666666666666666
162,0.6778668310727497
163,0.4442105263157895
164,0.7477178423236515
165,0.5177304964539007
166,0.803680981595092
167,0.8020735155513666
168,1.0
169,0.5571913929784824
170,0.7356890459363957
171,0.6303454940806958
172,0.782051282051282
173,0.27058823529411763
174,0.8205128205128205
175,0.43332190606787796
176,0.7094323696982485
177,0.6382978723404256
178,0.4684317718940937
179,0.6712371734552135
180,0.6733870967741935
181,1.0
182,0.4007832898172324
183,0.8075949367088607
184,0.6544789762340036
185,0.8592592592592593
186,1.0
187,0.8521739130434782
188,0.6753660089115213
189,0.7437185929648241
190,0.7309594460929772
191,0.4489795918367347
192,0.583941605839416
193,1.0
194,0.4601226993865031
195,0.6367521367521367
196,0.7184986595174263
197,0.7652474108170311
198,0.4892367906066536
199,0.4117647058823529
200,0.553926418997931
201,0.5696489241223103
202,0.6780115802852704
203,0.7130801687763713
204,0.6658476658476659
205,0.7629836179853607
206,0.9171629669734704
207,0.8446475195822454
208,0.46264367816091956
209,0.7126284388465363
210,0.5173210161662818
211,0.6561662198391421
212,0.4058252427184466
213,0.8156182212581344
214,0.4987714987714988
215,0.8103868943882886
216,0.6852874309840857
217,0.7861136999068034
218,0.4026548672566372
219,0.8275862068965517
220,0.6896551724137931
221,0.424090338770389
222,0.3318777292576419
223,0.5634328358208955
224,0.7070088088854845
225,0.78328611898017
226,1.0
227,0.5604982206405694
228,0.8368839427662957
229,0.5424929178470255
230,0.3717217787913341
231,0.6843255051884216
232,0.7288296860133207
233,0.6756337299534403
234,0.6463157894736842
235,0.3366778149386845
236,0.7313432835820896
237,0.6199649737302977
238,0.8786952089704383
239,0.7570819754324392
240,0.5909090909090909
241,0.7126284388465363
242,0.8545454545454545
243,0.8620411456232352
244,0.421357063403782
245,0.8716904276985743
246,0.5502645502645502
247,0.3856056173200702
248,0.5724614900974536
249,0.7003154574132492
250,0.5135667396061269
251,0.6958250497017893
252,1.0
253,0.7862307450487268
254,0.8548387096774194
255,0.700656455142232
256,1.0
257,0.6205357142857143
258,0.6230781947429327
