subject_id,excluded,exclusion_reason,frac_above_threshold,error,meanFD_NeutralOBSERVAR,meanFD_NegativoOBSERVAR,meanFD_NegativoREDUCIR,meanFD_NegativoSUPRIMIR,meanFD_HappyOBSERVAR,meanFD_HappySUPRIMIR,meanFD_HappyINCREMENTAR
sub-002,False,,0.18154761904761904,,0.23717694239583328,0.5713571866666666,0.4655377602083333,0.33524449604166673,0.423666198125,0.22772379250000005,0.46463751749999993
sub-004,True,motion,0.3869047619047619,,0.7770191387500001,0.6494833351666666,0.76614702375,0.5858035872916667,0.5152542293125,0.27465913,0.596800660625
sub-006,False,,0.22321428571428573,,0.34051168437499996,0.696531229455,0.41223158708333346,0.3280427395833333,0.26494843072916663,0.32612783570833326,0.18184954020833333
sub-007,False,,0.005952380952380952,,0.10008126721249998,0.10550194009999998,0.14117539937499995,0.09743488006249997,0.10182740393749995,0.10705416054166662,0.1132676014583333
sub-008,False,,0.06461538461538462,,0.13512019054054045,0.26390364666666666,0.2511203570833333,0.2119631977083333,0.2469204490624999,0.21478311085416668,0.21616538666666663
sub-009,True,motion,0.5119047619047619,,0.7242272657916667,1.08000345334375,0.7733689099375,0.651968716875,0.7271926691458334,0.45113434791666657,1.1171496833333334
sub-010,False,,0.1130952380952381,,0.47351513889583335,0.2702387432291667,0.46405224999999994,0.17625029166666661,0.2929526979166666,0.19113560937499996,0.2680772083333333
sub-011,False,,0.0625,,0.26666584041666663,0.36779401635416664,0.13060281354166658,0.11132023059375,0.21260328291666664,0.10449307374999998,0.19843048947916664
sub-012,True,missing_file,,FileNotFoundError: sub-012_events.tsv not found,,,,,,,
sub-013,False,,0.14285714285714285,,0.3425949487291666,0.3420708670416666,0.3012665026041666,0.34768666166666656,0.23398717291666662,0.27544755510416663,0.26028332416666666
sub-014,False,,0.05952380952380952,,0.20772401083333325,0.2921865516666666,0.22861504375,0.20899079541666662,0.22943541562499994,0.18959894791666665,0.21198690541666665
sub-015,False,,0.16071428571428573,,0.41085887370833324,0.38328279552083333,0.4144406362916666,0.15695715499999993,0.0894497692708333,0.23939210416666665,0.1647596815833333
sub-016,False,,0.03273809523809524,,0.2648777146041666,0.15332397291666663,0.17485566943749994,0.10407917901041663,0.15206120545833332,0.11006702887499997,0.19166478895833325
sub-017,False,,0.005952380952380952,,0.16976048314583334,0.1700274235208333,0.12362865214583331,0.1318942396666666,0.14011315443541664,0.10253173979166663,0.10982558624999998
sub-018,True,motion,0.3333333333333333,,0.43934093270833335,0.4516490570833333,0.46129177239583335,0.43726229691666657,0.5556813765625,0.4340723087937499,0.5584360366666666
sub-019,True,motion,0.25297619047619047,,0.30831037791666666,0.3639687437291667,0.547425968125,0.4421822238541668,0.4024679850000001,0.3419419092083333,0.4286473535416666
sub-020,True,motion,0.2767857142857143,,0.31918376458333325,0.3484329275,0.3374461515416667,0.43876230395833327,0.514516624625,0.252118150625,0.5613890411458333
sub-021,False,,0.050595238095238096,,0.21736207010416664,0.17530874166666663,0.1479131272291666,0.2134071891666666,0.19797015343749993,0.22340216618749997,0.18802941708333323
sub-022,False,,0.044642857142857144,,0.1519128954041666,0.15215851910416664,0.14772312833333326,0.1355332573958333,0.14776145419791661,0.1379808105520833,0.1807835232291666
sub-023,False,,0.026785714285714284,,0.16973780960416665,0.18182673718749998,0.21101349519791665,0.18806663093749998,0.25040918739583334,0.15449842076041656,0.27341127765624995
sub-024,False,,0.0744047619047619,,0.16550630322916662,0.23990809949999994,0.23764227068749996,0.3286452432291666,0.1906511479166666,0.22446055093749998,0.26764901333333335
sub-025,False,,0.02976190476190476,,0.1993393349208333,0.23874096635416664,0.18600107770833332,0.13799170937499997,0.18812188062499993,0.12821671252083325,0.2099762479166666
sub-026,False,,0.005952380952380952,,0.1343562492291666,0.12582015218749995,0.130760055625,0.15219484885416665,0.18608970658333332,0.11998515416666657,0.21303715683333335
sub-028,False,,0.05952380952380952,,0.2012394027083333,0.2446956648958333,0.2372238492708333,0.2473340063541666,0.2238759704166667,0.1573095548958333,0.30007330083333333
sub-029,False,,0.08630952380952381,,0.27632328934375,0.18655779183333335,0.17666420604166663,0.18457072354166662,0.2714266328958333,0.17809662375,0.21869714843749996
sub-030,False,,0.09523809523809523,,0.33539198391666664,0.2060066405208333,0.3572574708333332,0.3606620658333333,0.22916426645833324,0.1462036888958333,0.22255239625
sub-031,False,,0.008928571428571428,,0.1939499408541666,0.16500136916666666,0.13790146574999998,0.1550279908333333,0.1603119703125,0.13437914302083329,0.1582577933333333
sub-032,True,missing_file,,FileNotFoundError: sub-032_events.tsv not found,,,,,,,
sub-033,False,,0.005952380952380952,,0.11445890312499996,0.10353920729166662,0.06158499789583327,0.07078660237500001,0.07711121458333327,0.07529414499999999,0.09591562614583331
sub-034,False,,0.1636904761904762,,0.3325582064583333,0.41870156947916665,0.20517791813124997,0.14552700324999993,0.4064939514583333,0.28009175022916666,0.5946202895625
sub-036,False,,0.005952380952380952,,0.12756622370833334,0.14050857479166665,0.12808083979166665,0.12363486604166662,0.1233108889583333,0.1232611432708333,0.12794611543749998
sub-037,False,,0.044642857142857144,,0.2298630922916666,0.18807091662499997,0.20893591874999998,0.24006601645833328,0.2321275604166666,0.21763373374999997,0.19876368979166661
sub-038,False,,0.005952380952380952,,0.10285680125416663,0.11269762343749999,0.08636669812499993,0.09040657208333329,0.1335334197916666,0.10808224993749997,0.13034775528124995
sub-039,False,,0.08035714285714286,,0.2984182241666667,0.20004543374999995,0.136039812425,0.2403325200416666,0.37591326020833327,0.16147843624999988,0.12413923854166664
sub-040,False,,0.0,,0.12214845694374994,0.10312398312499994,0.11772013729166662,0.13185956914583333,0.12999111843749997,0.11195172662499996,0.13072746533541663
sub-042,False,,0.1130952380952381,,0.3667491942291667,0.3125896651041666,0.38710280004166675,0.22091848770833325,0.23317561312499993,0.15651381912499998,0.24297188208333334
sub-043,False,,0.050595238095238096,,0.20381052318312495,0.25650938156249997,0.19860687233333332,0.14553529708333332,0.16463278687499996,0.21103812624999999,0.21235068333333332
sub-044,False,,0.19940476190476192,,0.42874357031249993,0.34012719250000006,0.40145642625,0.29372003572916655,0.508654736875,0.20672630739583328,0.3632997165
sub-045,False,,0.005952380952380952,,0.15342507379166664,0.10933644958333329,0.10753899410416663,0.10298461444791662,0.10136275552083329,0.10396808981249996,0.15052387681249998
sub-046,False,,0.023809523809523808,,0.1617850377916666,0.12693998670833329,0.18443154062499997,0.13823341999999997,0.2292594505208333,0.1502977827083333,0.23274525199999996
sub-047,False,,0.041666666666666664,,0.14083832895833334,0.2429129222916666,0.17325347239583325,0.11087514916666667,0.10706013229166662,0.11001253124999998,0.19668353620833326
sub-049,False,,0.18452380952380953,,0.3615083583333332,0.35350842406249994,0.32125897270833326,0.3463922655208333,0.3185793904166666,0.25876175231250004,0.4256510856249999
sub-050,False,,0.020833333333333332,,0.1589075764166666,0.18906847097916665,0.16004281177083327,0.1590268617395833,0.1428493654166666,0.11434014374999997,0.15737686916666663
sub-052,False,,0.08035714285714286,,0.31641819208333327,0.20947067916666662,0.26224664999999997,0.1682086479166666,0.3029046033333333,0.1563465270833333,0.179096425
sub-053,False,,0.023809523809523808,,0.1284396719458333,0.1497307414583333,0.15753144592708332,0.13972311562499998,0.1550741291666666,0.1304595039583333,0.1709801791666666
sub-054,False,,0.22321428571428573,,0.42783314727500005,0.43054324208333333,0.29235343604166664,0.23378841770833328,0.35215961822916664,0.30008481885416666,0.42702133458333336
sub-055,False,,0.0,,0.17556519127083334,0.17755608958333333,0.17587983124999995,0.18918180458333334,0.17515424150937495,0.18493661489583327,0.19086301866666663
sub-056,False,,0.10416666666666667,,0.2484190930395833,0.3180177760416667,0.5374607608333333,0.1564272679166666,0.2476480011458333,0.18551129812499997,0.25618337083333337
sub-058,False,,0.002976190476190476,,0.13392829718749996,0.12156812072916663,0.1232330426458333,0.1322231749166666,0.15522375541666664,0.09996868791666662,0.13154169135416663
sub-059,False,,0.08630952380952381,,0.29247096471875,0.23320913029166665,0.21754327135416665,0.21898886208333335,0.30614110072916667,0.2063023788525,0.22012370607499995
sub-060,False,,0.02976190476190476,,0.12981874052083328,0.15174870928124998,0.184085366875,0.16670533333333334,0.17894025916666667,0.1204293722708333,0.12985479749999995
sub-061,False,,0.0625,,0.1241761745833333,0.2001593416666667,0.2938023764583333,0.16426402041666663,0.20233018125,0.1633085895833333,0.1807247829166666
sub-062,False,,0.002976190476190476,,0.17702627463958323,0.11113374760416665,0.12796132666666662,0.1200757989583333,0.147482453125,0.12807334424999994,0.12436159458333325
sub-063,False,,0.1130952380952381,,0.2054179688333333,0.20688876798749997,0.2987123752083333,0.22321883568749992,0.29973384965624994,0.24574717249999997,0.27403194020833327
sub-064,False,,0.020833333333333332,,0.1922433581583333,0.2039346886458333,0.1764169479583333,0.17680894195833333,0.15926706011666666,0.17000293916666662,0.1898102914583333
sub-066,False,,0.041666666666666664,,0.17868476479166664,0.14192322187499995,0.10512377312499997,0.1544290409479166,0.18926972708333334,0.21594730291666664,0.1683543970833333
sub-068,False,,0.047619047619047616,,0.14037801208333325,0.1217524565625,0.18663257545624998,0.12197674710416657,0.14153061072916664,0.20553742281249998,0.17800133478958327
sub-069,False,,0.05952380952380952,,0.14808493787499996,0.304533494375,0.20464393979166662,0.17360514124999996,0.14910787124999994,0.20290911458333327,0.18841707158333332
sub-070,False,,0.017857142857142856,,0.1718182065625,0.2148357997916666,0.12759682603124997,0.1350708372916666,0.12979865020833328,0.15445127021062496,0.1780706071875
sub-072,False,,0.047619047619047616,,0.22858792502083328,0.23101905718749993,0.21850125333333326,0.19847371544583328,0.22269837335416667,0.18828671587499998,0.19983067708333332
sub-073,False,,0.05952380952380952,,0.1612677897916666,0.18278639885416662,0.257665579375,0.2566231627083333,0.1856565085416666,0.1690895245833333,0.2867877543749999
sub-074,False,,0.008928571428571428,,0.21060397706249998,0.10270985906249995,0.10907271208333331,0.14249357249999997,0.12490874451041667,0.1198441379166666,0.11991032249999994
sub-075,False,,0.050595238095238096,,0.13093890041666664,0.14648897624999999,0.12104156760416661,0.12215994186458327,0.1488950944791666,0.09139890104166665,0.24118478750000003
sub-076,False,,0.0,,0.09618693087499997,0.08135993174999999,0.08603858958333331,0.08410625593749992,0.06621028802083333,0.0811037993958333,0.08504153062499993
sub-077,False,,0.005952380952380952,,0.13687028427083334,0.13150627062499995,0.13616576083333326,0.16809279187499995,0.13807742499999995,0.1755104245833333,0.14792294442708329
