condition,silhouette,k_sel,perm_p,sizeOk,k_gap,eff_rank,pc1_pct,rank_ceiling
Full model,0.30600571632385254,4,0.023,True,6.0,3.3944778442382812,42.36882400512695,27
Mean pooling,0.3407500684261322,2,0.171,True,6.0,2.989057779312134,50.66897201538086,27
Untrained encoder,0.4636206328868866,2,0.422,True,6.0,1.3905810117721558,84.34386444091797,27
