space,n,dim,r,R2,perm_p
main-trained,28,98,-0.044572519455699504,-0.7290120760763146,0.236
orthogonal-trained,28,98,-0.2230989402720051,-0.8933109020446597,0.357
random-encoder-control (seed 42),28,98,0.5262834184985328,0.27005395095380214,0.008
