encoder,k_neighbors,r,R2,perm_p,n
trained,3,0.139749743072251,-0.17176935734329835,0.159,28
trained,5,0.2967797838009733,0.06239621148290686,0.024,28
trained,7,0.38056686090480896,0.13815282777952753,0.01,28
random-encoder,3,0.36441907927864514,0.1125139538972666,0.027,28
random-encoder,5,0.46365707129752914,0.21369072742964357,0.005,28
random-encoder,7,0.32046385200264615,0.0876070811109092,0.021,28
