metric,point,ci_lo,ci_hi,resample,frac,n_boot
silhouette_k4,0.30600571632385254,0.26278849244117736,0.36687709465622903,subsample_without_replacement,0.8,1000
ridge_r,0.5786119974171045,0.1510976134169405,0.9229431154310067,bootstrap_with_replacement,1.0,1000
