percentile,silhouette_original,silhouette_orthogonal
75,0.265062153339386,0.3036043643951416
80,0.34670671820640564,0.40836042165756226
85,0.34352177381515503,0.39759400486946106
90,0.2786196768283844,0.2983276844024658
