onset	duration	trial_type
25.815	8	Neutral - OBSERVAR
35.015	8	Neutral - OBSERVAR
43.964	8	Neutral - OBSERVAR
53.297	8	Neutral - OBSERVAR
91.128	8	Negativo - OBSERVAR
100.327	8	Negativo - OBSERVAR
108.96	8	Negativo - OBSERVAR
117.909	8	Negativo - OBSERVAR
160.607	8	Happy - SUPRIMIR
169.256	8	Happy - SUPRIMIR
178.222	8	Happy - SUPRIMIR
187.688	8	Happy - SUPRIMIR
226.269	8	Negativo - SUPRIMIR
235.635	8	Negativo - SUPRIMIR
244.568	8	Negativo - SUPRIMIR
253.101	8	Negativo - SUPRIMIR
283.799	8	Happy - INCREMENTAR
292.748	8	Happy - INCREMENTAR
301.981	8	Happy - INCREMENTAR
310.63	8	Happy - INCREMENTAR
346.628	8	Negativo - REDUCIR
356.061	8	Negativo - REDUCIR
364.893	8	Negativo - REDUCIR
374.093	8	Negativo - REDUCIR
411.207	8	Happy - OBSERVAR
419.857	8	Happy - OBSERVAR
429.306	8	Happy - OBSERVAR
438.272	8	Happy - OBSERVAR
476.636	8	Happy - SUPRIMIR
485.302	8	Happy - SUPRIMIR
494.285	8	Happy - SUPRIMIR
503.484	8	Happy - SUPRIMIR
534.216	8	Happy - INCREMENTAR
543.682	8	Happy - INCREMENTAR
552.781	8	Happy - INCREMENTAR
561.747	8	Happy - INCREMENTAR
598.395	8	Negativo - REDUCIR
607.361	8	Negativo - REDUCIR
616.794	8	Negativo - REDUCIR
625.893	8	Negativo - REDUCIR
657.741	8	Happy - OBSERVAR
666.391	8	Happy - OBSERVAR
675.607	8	Happy - OBSERVAR
684.573	8	Happy - OBSERVAR
717.654	8	Negativo - SUPRIMIR
727.103	8	Negativo - SUPRIMIR
735.753	8	Negativo - SUPRIMIR
744.702	8	Negativo - SUPRIMIR
775.684	8	Negativo - OBSERVAR
785.15	8	Negativo - OBSERVAR
794.349	8	Negativo - OBSERVAR
802.998	8	Negativo - OBSERVAR
838.63	8	Neutral - OBSERVAR
847.829	8	Neutral - OBSERVAR
856.795	8	Neutral - OBSERVAR
866.261	8	Neutral - OBSERVAR
901.809	8	Happy - OBSERVAR
910.791	8	Happy - OBSERVAR
920.241	8	Happy - OBSERVAR
928.89	8	Happy - OBSERVAR
958.205	8	Happy - INCREMENTAR
967.288	8	Happy - INCREMENTAR
976.771	8	Happy - INCREMENTAR
986.003	8	Happy - INCREMENTAR
1021.801	8	Negativo - OBSERVAR
1030.467	8	Negativo - OBSERVAR
1039.933	8	Negativo - OBSERVAR
1049.033	8	Negativo - OBSERVAR
1080.902	8	Negativo - SUPRIMIR
1089.58	8	Negativo - SUPRIMIR
1098.546	8	Negativo - SUPRIMIR
1107.979	8	Negativo - SUPRIMIR
1143.643	8	Happy - SUPRIMIR
1152.464	8	Happy - SUPRIMIR
1161.68	8	Happy - SUPRIMIR
1171.129	8	Happy - SUPRIMIR
1201.706	8	Negativo - REDUCIR
1211.089	8	Negativo - REDUCIR
1220.038	8	Negativo - REDUCIR
1228.671	8	Negativo - REDUCIR
1260.186	8	Neutral - OBSERVAR
1269.135	8	Neutral - OBSERVAR
1278.322	8	Neutral - OBSERVAR
1287.771	8	Neutral - OBSERVAR
