onset	duration	trial_type
31.315	8	Neutral - OBSERVAR
40.565	8	Neutral - OBSERVAR
49.514	8	Neutral - OBSERVAR
58.963	8	Neutral - OBSERVAR
96.394	8	Negativo - SUPRIMIR
105.044	8	Negativo - SUPRIMIR
114.493	8	Negativo - SUPRIMIR
123.443	8	Negativo - SUPRIMIR
158.924	8	Happy - OBSERVAR
168.14	8	Happy - OBSERVAR
177.606	8	Happy - OBSERVAR
186.589	8	Happy - OBSERVAR
221.803	8	Happy - SUPRIMIR
231.002	8	Happy - SUPRIMIR
239.968	8	Happy - SUPRIMIR
248.635	8	Happy - SUPRIMIR
287.032	8	Negativo - OBSERVAR
295.898	8	Negativo - OBSERVAR
304.564	8	Negativo - OBSERVAR
313.747	8	Negativo - OBSERVAR
352.261	8	Happy - INCREMENTAR
361.461	8	Happy - INCREMENTAR
370.127	8	Happy - INCREMENTAR
379.009	8	Happy - INCREMENTAR
411.774	8	Negativo - REDUCIR
420.44	8	Negativo - REDUCIR
429.656	8	Negativo - REDUCIR
438.622	8	Negativo - REDUCIR
476.453	8	Happy - OBSERVAR
485.419	8	Happy - OBSERVAR
494.869	8	Happy - OBSERVAR
503.635	8	Happy - OBSERVAR
536.233	8	Happy - SUPRIMIR
545.182	8	Happy - SUPRIMIR
554.648	8	Happy - SUPRIMIR
563.848	8	Happy - SUPRIMIR
601.129	8	Happy - INCREMENTAR
609.778	8	Happy - INCREMENTAR
619.027	8	Happy - INCREMENTAR
628.51	8	Happy - INCREMENTAR
665.091	8	Neutral - OBSERVAR
674.041	8	Neutral - OBSERVAR
683.257	8	Neutral - OBSERVAR
692.706	8	Neutral - OBSERVAR
734.003	8	Negativo - OBSERVAR
742.653	8	Negativo - OBSERVAR
751.869	8	Negativo - OBSERVAR
760.735	8	Negativo - OBSERVAR
794.016	8	Negativo - SUPRIMIR
803.482	8	Negativo - SUPRIMIR
812.065	8	Negativo - SUPRIMIR
820.948	8	Negativo - SUPRIMIR
860.245	8	Negativo - REDUCIR
869.711	8	Negativo - REDUCIR
879.177	8	Negativo - REDUCIR
888.11	8	Negativo - REDUCIR
924.424	8	Negativo - OBSERVAR
933.874	8	Negativo - OBSERVAR
942.523	8	Negativo - OBSERVAR
951.473	8	Negativo - OBSERVAR
986.837	8	Happy - INCREMENTAR
995.803	8	Happy - INCREMENTAR
1005.169	8	Happy - INCREMENTAR
1014.369	8	Happy - INCREMENTAR
1046.9	8	Negativo - REDUCIR
1055.566	8	Negativo - REDUCIR
1064.765	8	Negativo - REDUCIR
1074.215	8	Negativo - REDUCIR
1110.663	8	Happy - SUPRIMIR
1119.645	8	Happy - SUPRIMIR
1128.311	8	Happy - SUPRIMIR
1137.761	8	Happy - SUPRIMIR
1172.992	8	Negativo - SUPRIMIR
1182.358	8	Negativo - SUPRIMIR
1191.024	8	Negativo - SUPRIMIR
1200.023	8	Negativo - SUPRIMIR
1236.354	8	Happy - OBSERVAR
1245.804	8	Happy - OBSERVAR
1254.77	8	Happy - OBSERVAR
1263.869	8	Happy - OBSERVAR
1295.784	8	Neutral - OBSERVAR
1305.233	8	Neutral - OBSERVAR
1314.333	8	Neutral - OBSERVAR
1322.899	8	Neutral - OBSERVAR
