,k,silhouette_score,gap_stat,gap_se,permutation_p,k_selected_silhouette,k_selected_gap,k_gap_at_boundary
0,2,0.11940646916627884,0.4309977052117584,0.018114344707522018,,5,6,True
1,3,0.11927128583192825,0.49399007315846566,0.01595560627432466,,5,6,True
2,4,0.12119249254465103,0.55968714920935,0.020085610703364957,,5,6,True
3,5,0.14242756366729736,0.6283661181488651,0.013008800429821471,0.39760239760239763,5,6,True
4,6,0.14141103625297546,0.6933427720411629,0.014823210959427907,,5,6,True
