space,n,dim,r,R2,perm_p
zsrds-main-trained,46,68,-0.5735654487131185,-0.06867527064794254,0.5334665334665335
zsrds-random-control-seed42,46,68,-0.6285638653072679,-0.07848788684710861,0.6073926073926074
