,k,silhouette_score,gap_stat,gap_se,permutation_p,k_selected_silhouette,k_selected_gap
0,2,0.11102841049432755,0.4298858138230939,0.009640831309315583,,5,6
1,3,0.10387854278087616,0.513674371336621,0.013250996460733116,,5,6
2,4,0.1268707513809204,0.5818689067061493,0.010028295692186837,,5,6
3,5,0.134931743144989,0.6513602619711727,0.014450852641647227,0.205,5,6
4,6,0.14771075546741486,0.7436828332222185,0.014427195723462552,,5,6
