,k,silhouette_score,gap_stat,gap_se,permutation_p,k_selected_silhouette,k_selected_gap
0,2,0.11102066934108734,0.4299036933801186,0.009638990757625095,,5,6
1,3,0.10387992858886719,0.5137190145987409,0.013253864907283069,,5,6
2,4,0.12687046825885773,0.5819072340346945,0.010032134438613397,,5,6
3,5,0.13492710888385773,0.6513978115308481,0.014452265488272234,0.205,5,6
4,6,0.14771609008312225,0.7437037335526142,0.014427580652691261,,5,6
