onset	duration	trial_type
25.132	8	Neutral - OBSERVAR
34.098	8	Neutral - OBSERVAR
43.298	8	Neutral - OBSERVAR
51.947	8	Neutral - OBSERVAR
100.144	8	Negativo - OBSERVAR
109.11	8	Negativo - OBSERVAR
118.559	8	Negativo - OBSERVAR
127.742	8	Negativo - OBSERVAR
171.256	8	Happy - INCREMENTAR
180.755	8	Happy - INCREMENTAR
189.972	8	Happy - INCREMENTAR
198.954	8	Happy - INCREMENTAR
244.018	8	Negativo - SUPRIMIR
253.484	8	Negativo - SUPRIMIR
262.15	8	Negativo - SUPRIMIR
271.116	8	Negativo - SUPRIMIR
319.663	8	Happy - OBSERVAR
328.346	8	Happy - OBSERVAR
337.545	8	Happy - OBSERVAR
346.495	8	Happy - OBSERVAR
390.192	8	Happy - SUPRIMIR
399.158	8	Happy - SUPRIMIR
408.391	8	Happy - SUPRIMIR
417.84	8	Happy - SUPRIMIR
460.371	8	Negativo - REDUCIR
469.587	8	Negativo - REDUCIR
478.236	8	Negativo - REDUCIR
487.203	8	Negativo - REDUCIR
530.633	8	Happy - SUPRIMIR
539.199	8	Happy - SUPRIMIR
548.399	8	Happy - SUPRIMIR
557.748	8	Happy - SUPRIMIR
603.412	8	Negativo - REDUCIR
612.861	8	Negativo - REDUCIR
621.511	8	Negativo - REDUCIR
630.71	8	Negativo - REDUCIR
674.557	8	Happy - OBSERVAR
683.223	8	Happy - OBSERVAR
692.706	8	Happy - OBSERVAR
701.672	8	Happy - OBSERVAR
747.236	8	Neutral - OBSERVAR
756.685	8	Neutral - OBSERVAR
765.651	8	Neutral - OBSERVAR
774.868	8	Neutral - OBSERVAR
819.865	8	Happy - INCREMENTAR
829.081	8	Happy - INCREMENTAR
837.747	8	Happy - INCREMENTAR
846.646	8	Happy - INCREMENTAR
896.893	8	Negativo - SUPRIMIR
906.093	8	Negativo - SUPRIMIR
915.563	8	Negativo - SUPRIMIR
924.413	8	Negativo - SUPRIMIR
970.359	8	Negativo - OBSERVAR
979.292	8	Negativo - OBSERVAR
987.925	8	Negativo - OBSERVAR
997.374	8	Negativo - OBSERVAR
1045.854	8	Negativo - REDUCIR
1055.02	8	Negativo - REDUCIR
1063.953	8	Negativo - REDUCIR
1073.402	8	Negativo - REDUCIR
1119.066	8	Happy - OBSERVAR
1128.032	8	Happy - OBSERVAR
1137.131	8	Happy - OBSERVAR
1146.581	8	Happy - OBSERVAR
1191.527	8	Happy - INCREMENTAR
1200.71	8	Happy - INCREMENTAR
1209.26	8	Happy - INCREMENTAR
1218.192	8	Happy - INCREMENTAR
1263.906	8	Negativo - OBSERVAR
1273.088	8	Negativo - OBSERVAR
1282.504	8	Negativo - OBSERVAR
1291.02	8	Negativo - OBSERVAR
1334.701	8	Happy - SUPRIMIR
1343.65	8	Happy - SUPRIMIR
1352.3	8	Happy - SUPRIMIR
1361.749	8	Happy - SUPRIMIR
1407.279	8	Negativo - SUPRIMIR
1415.945	8	Negativo - SUPRIMIR
1425.395	8	Negativo - SUPRIMIR
1434.361	8	Negativo - SUPRIMIR
1477.324	8	Neutral - OBSERVAR
1486.24	8	Neutral - OBSERVAR
1494.89	8	Neutral - OBSERVAR
1503.972	8	Neutral - OBSERVAR
