onset	duration	trial_type
24.649	8	Neutral - OBSERVAR
33.798	8	Neutral - OBSERVAR
42.998	8	Neutral - OBSERVAR
51.947	8	Neutral - OBSERVAR
96.294	8	Negativo - OBSERVAR
104.927	8	Negativo - OBSERVAR
114.36	8	Negativo - OBSERVAR
123.309	8	Negativo - OBSERVAR
162.795	8	Happy - SUPRIMIR
172.239	8	Happy - SUPRIMIR
180.872	8	Happy - SUPRIMIR
190.055	8	Happy - SUPRIMIR
227.969	8	Happy - INCREMENTAR
237.14	8	Happy - INCREMENTAR
246.585	8	Happy - INCREMENTAR
255.505	8	Happy - INCREMENTAR
302.785	8	Negativo - REDUCIR
311.964	8	Negativo - REDUCIR
321.384	8	Negativo - REDUCIR
330.313	8	Negativo - REDUCIR
369.831	8	Happy - OBSERVAR
378.764	8	Happy - OBSERVAR
387.396	8	Happy - OBSERVAR
396.562	8	Happy - OBSERVAR
441.193	8	Negativo - SUPRIMIR
450.372	8	Negativo - SUPRIMIR
458.991	8	Negativo - SUPRIMIR
468.424	8	Negativo - SUPRIMIR
509.871	8	Happy - OBSERVAR
519.304	8	Happy - OBSERVAR
528.253	8	Happy - OBSERVAR
536.869	8	Happy - OBSERVAR
573.783	8	Happy - SUPRIMIR
582.416	8	Happy - SUPRIMIR
591.499	8	Happy - SUPRIMIR
600.446	8	Happy - SUPRIMIR
642.112	8	Negativo - SUPRIMIR
651.045	8	Negativo - SUPRIMIR
659.594	8	Negativo - SUPRIMIR
669.027	8	Negativo - SUPRIMIR
708.924	8	Negativo - OBSERVAR
718.357	8	Negativo - OBSERVAR
726.99	8	Negativo - OBSERVAR
735.922	8	Negativo - OBSERVAR
777.253	8	Happy - INCREMENTAR
786.169	8	Happy - INCREMENTAR
795.351	8	Happy - INCREMENTAR
804.767	8	Happy - INCREMENTAR
847.198	8	Negativo - REDUCIR
856.464	8	Negativo - REDUCIR
865.647	8	Negativo - REDUCIR
874.579	8	Negativo - REDUCIR
916.21	8	Neutral - OBSERVAR
925.142	8	Neutral - OBSERVAR
934.558	8	Neutral - OBSERVAR
943.741	8	Neutral - OBSERVAR
983.988	8	Negativo - SUPRIMIR
992.604	8	Negativo - SUPRIMIR
1001.521	8	Negativo - SUPRIMIR
1010.953	8	Negativo - SUPRIMIR
1056.284	8	Negativo - REDUCIR
1065.216	8	Negativo - REDUCIR
1073.849	8	Negativo - REDUCIR
1083.282	8	Negativo - REDUCIR
1124.613	8	Happy - OBSERVAR
1133.779	8	Happy - OBSERVAR
1143.095	8	Happy - OBSERVAR
1151.611	8	Happy - OBSERVAR
1190.308	8	Negativo - OBSERVAR
1199.491	8	Negativo - OBSERVAR
1208.424	8	Negativo - OBSERVAR
1217.057	8	Negativo - OBSERVAR
1259.404	8	Happy - SUPRIMIR
1268.337	8	Happy - SUPRIMIR
1276.97	8	Happy - SUPRIMIR
1286.152	8	Happy - SUPRIMIR
1334.866	8	Happy - INCREMENTAR
1343.799	8	Happy - INCREMENTAR
1352.981	8	Happy - INCREMENTAR
1361.631	8	Happy - INCREMENTAR
1407.578	8	Neutral - OBSERVAR
1417.011	8	Neutral - OBSERVAR
1425.644	8	Neutral - OBSERVAR
1434.576	8	Neutral - OBSERVAR
