onset	duration	trial_type
24.299	8	Neutral - OBSERVAR
32.948	8	Neutral - OBSERVAR
41.898	8	Neutral - OBSERVAR
50.981	8	Neutral - OBSERVAR
84.278	8	Happy - OBSERVAR
92.928	8	Happy - OBSERVAR
101.877	8	Happy - OBSERVAR
111.327	8	Happy - OBSERVAR
149.858	8	Negativo - SUPRIMIR
158.724	8	Negativo - SUPRIMIR
168.173	8	Negativo - SUPRIMIR
176.806	8	Negativo - SUPRIMIR
212.587	8	Happy - INCREMENTAR
221.536	8	Happy - INCREMENTAR
230.186	8	Happy - INCREMENTAR
239.619	8	Happy - INCREMENTAR
273.466	8	Negativo - OBSERVAR
282.666	8	Negativo - OBSERVAR
291.599	8	Negativo - OBSERVAR
300.198	8	Negativo - OBSERVAR
338.596	8	Happy - SUPRIMIR
347.228	8	Happy - SUPRIMIR
356.078	8	Happy - SUPRIMIR
365.511	8	Happy - SUPRIMIR
399.542	8	Negativo - REDUCIR
408.758	8	Negativo - REDUCIR
417.307	8	Negativo - REDUCIR
426.29	8	Negativo - REDUCIR
460.588	8	Happy - SUPRIMIR
469.787	8	Happy - SUPRIMIR
478.32	8	Happy - SUPRIMIR
487.77	8	Happy - SUPRIMIR
518.418	8	Negativo - OBSERVAR
527.084	8	Negativo - OBSERVAR
536.016	8	Negativo - OBSERVAR
545.483	8	Negativo - OBSERVAR
581.88	8	Negativo - REDUCIR
591.28	8	Negativo - REDUCIR
600.479	8	Negativo - REDUCIR
609.428	8	Negativo - REDUCIR
644.71	8	Neutral - OBSERVAR
653.359	8	Neutral - OBSERVAR
662.458	8	Neutral - OBSERVAR
671.908	8	Neutral - OBSERVAR
707.989	8	Happy - OBSERVAR
716.938	8	Happy - OBSERVAR
726.388	8	Happy - OBSERVAR
735.587	8	Happy - OBSERVAR
767.052	8	Happy - INCREMENTAR
775.685	8	Happy - INCREMENTAR
784.634	8	Happy - INCREMENTAR
793.834	8	Happy - INCREMENTAR
828.898	8	Negativo - SUPRIMIR
837.831	8	Negativo - SUPRIMIR
846.38	8	Negativo - SUPRIMIR
855.58	8	Negativo - SUPRIMIR
887.028	8	Negativo - SUPRIMIR
896.227	8	Negativo - SUPRIMIR
904.86	8	Negativo - SUPRIMIR
914.309	8	Negativo - SUPRIMIR
945.624	8	Negativo - OBSERVAR
954.823	8	Negativo - OBSERVAR
963.789	8	Negativo - OBSERVAR
972.439	8	Negativo - OBSERVAR
1000.82	8	Happy - OBSERVAR
1009.487	8	Happy - OBSERVAR
1018.919	8	Happy - OBSERVAR
1027.835	8	Happy - OBSERVAR
1061.483	8	Happy - INCREMENTAR
1070.933	8	Happy - INCREMENTAR
1080.132	8	Happy - INCREMENTAR
1088.815	8	Happy - INCREMENTAR
1124.179	8	Happy - SUPRIMIR
1133.395	8	Happy - SUPRIMIR
1142.845	8	Happy - SUPRIMIR
1151.377	8	Happy - SUPRIMIR
1181.276	8	Negativo - REDUCIR
1190.492	8	Negativo - REDUCIR
1199.441	8	Negativo - REDUCIR
1208.091	8	Negativo - REDUCIR
1240.022	8	Neutral - OBSERVAR
1249.238	8	Neutral - OBSERVAR
1257.887	8	Neutral - OBSERVAR
1267.337	8	Neutral - OBSERVAR
