space,n,dim,r,R2,perm_p
madrs-main-trained,27,68,0.21671819151764574,-0.29495333234741095,0.06593406593406594
madrs-random-control-seed42,27,68,-0.26392677403064196,-0.46864604155850875,0.3596403596403596
