seed,silhouette
0,0.3852655291557312
1,0.36443954706192017
2,0.45212435722351074
3,0.3829628825187683
4,0.3690126836299896
5,0.3739512264728546
6,0.37960320711135864
7,0.3228413760662079
8,0.3869606554508209
9,0.44923293590545654
