space,n,dim,r,R2,perm_p
bdi-main-trained,47,68,-0.5419960256840692,-0.08934649557398022,0.4595404595404595
bdi-random-control-seed42,47,68,-0.2973078922689888,-0.12712417979344326,0.2947052947052947
