onset	duration	trial_type
22.248	8	Neutral - OBSERVAR
31.498	8	Neutral - OBSERVAR
40.947	8	Neutral - OBSERVAR
49.613	8	Neutral - OBSERVAR
93.977	8	Happy - INCREMENTAR
103.193	8	Happy - INCREMENTAR
111.759	8	Happy - INCREMENTAR
121.209	8	Happy - INCREMENTAR
166.556	8	Negativo - OBSERVAR
175.522	8	Negativo - OBSERVAR
184.971	8	Negativo - OBSERVAR
193.609	8	Negativo - OBSERVAR
239.089	8	Negativo - SUPRIMIR
248.067	8	Negativo - SUPRIMIR
256.733	8	Negativo - SUPRIMIR
265.866	8	Negativo - SUPRIMIR
313.85	8	Happy - OBSERVAR
322.483	8	Happy - OBSERVAR
331.366	8	Happy - OBSERVAR
340.582	8	Happy - OBSERVAR
384.779	8	Negativo - REDUCIR
393.878	8	Negativo - REDUCIR
402.561	8	Negativo - REDUCIR
411.527	8	Negativo - REDUCIR
454.89	8	Happy - SUPRIMIR
464.32	8	Happy - SUPRIMIR
473.519	8	Happy - SUPRIMIR
482.039	8	Happy - SUPRIMIR
531.752	8	Happy - INCREMENTAR
540.401	8	Happy - INCREMENTAR
549.85	8	Happy - INCREMENTAR
559.083	8	Happy - INCREMENTAR
604.93	8	Negativo - SUPRIMIR
613.863	8	Negativo - SUPRIMIR
623.329	8	Negativo - SUPRIMIR
631.995	8	Negativo - SUPRIMIR
677.441	8	Neutral - OBSERVAR
686.074	8	Neutral - OBSERVAR
694.907	8	Neutral - OBSERVAR
704.256	8	Neutral - OBSERVAR
745.287	8	Happy - SUPRIMIR
754.719	8	Happy - SUPRIMIR
763.369	8	Happy - SUPRIMIR
772.301	8	Happy - SUPRIMIR
813.632	8	Negativo - REDUCIR
822.815	8	Negativo - REDUCIR
831.747	8	Negativo - REDUCIR
841.163	8	Negativo - REDUCIR
880.494	8	Happy - OBSERVAR
889.593	8	Happy - OBSERVAR
898.509	8	Happy - OBSERVAR
907.842	8	Happy - OBSERVAR
948.056	8	Negativo - OBSERVAR
957.488	8	Negativo - OBSERVAR
966.321	8	Negativo - OBSERVAR
975.554	8	Negativo - OBSERVAR
1013.268	8	Happy - SUPRIMIR
1022.15	8	Happy - SUPRIMIR
1031.217	8	Happy - SUPRIMIR
1039.849	8	Happy - SUPRIMIR
1082.796	8	Happy - INCREMENTAR
1091.429	8	Happy - INCREMENTAR
1100.395	8	Happy - INCREMENTAR
1109.611	8	Happy - INCREMENTAR
1145.576	8	Negativo - OBSERVAR
1154.758	8	Negativo - OBSERVAR
1163.408	8	Negativo - OBSERVAR
1172.341	8	Negativo - OBSERVAR
1209.272	8	Negativo - REDUCIR
1218.638	8	Negativo - REDUCIR
1227.87	8	Negativo - REDUCIR
1236.503	8	Negativo - REDUCIR
1276.834	8	Negativo - SUPRIMIR
1285.467	8	Negativo - SUPRIMIR
1294.816	8	Negativo - SUPRIMIR
1303.999	8	Negativo - SUPRIMIR
1346.963	8	Happy - OBSERVAR
1355.612	8	Happy - OBSERVAR
1365.061	8	Happy - OBSERVAR
1374.261	8	Happy - OBSERVAR
1410.109	8	Neutral - OBSERVAR
1419.541	8	Neutral - OBSERVAR
1428.624	8	Neutral - OBSERVAR
1437.324	8	Neutral - OBSERVAR
