,k,silhouette_score,gap_stat,gap_se,permutation_p,k_selected_silhouette,k_selected_gap,k_gap_at_boundary,min_cluster_size,min_cluster_size_required,passes_size_guard
0,2,0.2170523405075073,0.3029056358698465,0.0142777447955514,,4,6,True,11,4,True
1,3,0.2170761972665786,0.4680483062517386,0.0228787960390562,,4,6,True,7,4,True
2,4,0.2433060705661773,0.6365602257448355,0.0228027336711105,0.6773226773226774,4,6,True,5,4,True
3,5,0.2493230551481247,0.7133745049183573,0.022006129086957,,4,6,True,2,4,False
4,6,0.2399962693452835,0.7607523219682761,0.0186207503288798,,4,6,True,3,4,False
