onset	duration	trial_type
25.198	8	Neutral - OBSERVAR
34.148	8	Neutral - OBSERVAR
43.614	8	Neutral - OBSERVAR
52.163	8	Neutral - OBSERVAR
95.694	8	Negativo - OBSERVAR
104.91	8	Negativo - OBSERVAR
113.459	8	Negativo - OBSERVAR
122.408	8	Negativo - OBSERVAR
168.272	8	Negativo - SUPRIMIR
177.721	8	Negativo - SUPRIMIR
186.371	8	Negativo - SUPRIMIR
195.337	8	Negativo - SUPRIMIR
236.084	8	Negativo - REDUCIR
244.934	8	Negativo - REDUCIR
253.583	8	Negativo - REDUCIR
262.816	8	Negativo - REDUCIR
304.163	8	Happy - OBSERVAR
313.379	8	Happy - OBSERVAR
322.029	8	Happy - OBSERVAR
331.478	8	Happy - OBSERVAR
374.842	8	Happy - SUPRIMIR
384.291	8	Happy - SUPRIMIR
393.491	8	Happy - SUPRIMIR
402.14	8	Happy - SUPRIMIR
441.604	8	Happy - INCREMENTAR
450.287	8	Happy - INCREMENTAR
459.753	8	Happy - INCREMENTAR
468.952	8	Happy - INCREMENTAR
507.25	8	Happy - INCREMENTAR
515.849	8	Happy - INCREMENTAR
525.299	8	Happy - INCREMENTAR
534.498	8	Happy - INCREMENTAR
577.262	8	Negativo - SUPRIMIR
586.228	8	Negativo - SUPRIMIR
595.694	8	Negativo - SUPRIMIR
604.344	8	Negativo - SUPRIMIR
638.841	8	Happy - OBSERVAR
647.507	8	Happy - OBSERVAR
656.957	8	Happy - OBSERVAR
666.173	8	Happy - OBSERVAR
707.787	8	Negativo - REDUCIR
716.636	8	Negativo - REDUCIR
725.969	8	Negativo - REDUCIR
734.618	8	Negativo - REDUCIR
775.699	8	Negativo - OBSERVAR
785.165	8	Negativo - OBSERVAR
794.381	8	Negativo - OBSERVAR
803.031	8	Negativo - OBSERVAR
845.411	8	Neutral - OBSERVAR
854.86	8	Neutral - OBSERVAR
864.077	8	Neutral - OBSERVAR
873.026	8	Neutral - OBSERVAR
914.44	8	Happy - SUPRIMIR
923.406	8	Happy - SUPRIMIR
932.055	8	Happy - SUPRIMIR
941.155	8	Happy - SUPRIMIR
984.535	8	Happy - OBSERVAR
993.185	8	Happy - OBSERVAR
1002.251	8	Happy - OBSERVAR
1011.467	8	Happy - OBSERVAR
1053.347	8	Negativo - SUPRIMIR
1062.197	8	Negativo - SUPRIMIR
1070.863	8	Negativo - SUPRIMIR
1080.362	8	Negativo - SUPRIMIR
1125.559	8	Negativo - OBSERVAR
1134.509	8	Negativo - OBSERVAR
1143.708	8	Negativo - OBSERVAR
1152.358	8	Negativo - OBSERVAR
1197.155	8	Negativo - REDUCIR
1206.371	8	Negativo - REDUCIR
1215.32	8	Negativo - REDUCIR
1224.786	8	Negativo - REDUCIR
1265.767	8	Happy - SUPRIMIR
1275.116	8	Happy - SUPRIMIR
1284.082	8	Happy - SUPRIMIR
1293.298	8	Happy - SUPRIMIR
1338.562	8	Happy - INCREMENTAR
1347.212	8	Happy - INCREMENTAR
1356.194	8	Happy - INCREMENTAR
1365.677	8	Happy - INCREMENTAR
1412.624	8	Neutral - OBSERVAR
1421.957	8	Neutral - OBSERVAR
1430.923	8	Neutral - OBSERVAR
1440.122	8	Neutral - OBSERVAR
