onset	duration	trial_type
22.932	8	Neutral - OBSERVAR
31.598	8	Neutral - OBSERVAR
40.564	8	Neutral - OBSERVAR
49.763	8	Neutral - OBSERVAR
88.31	8	Negativo - REDUCIR
97.227	8	Negativo - REDUCIR
105.876	8	Negativo - REDUCIR
115.059	8	Negativo - REDUCIR
147.873	8	Negativo - SUPRIMIR
156.822	8	Negativo - SUPRIMIR
166.288	8	Negativo - SUPRIMIR
174.905	8	Negativo - SUPRIMIR
211.585	8	Negativo - OBSERVAR
220.201	8	Negativo - OBSERVAR
229.617	8	Negativo - OBSERVAR
238.533	8	Negativo - OBSERVAR
272.881	8	Happy - OBSERVAR
282.097	8	Happy - OBSERVAR
290.73	8	Happy - OBSERVAR
300.179	8	Happy - OBSERVAR
333.294	8	Happy - SUPRIMIR
342.476	8	Happy - SUPRIMIR
351.126	8	Happy - SUPRIMIR
360.575	8	Happy - SUPRIMIR
395.94	8	Happy - INCREMENTAR
404.572	8	Happy - INCREMENTAR
414.022	8	Happy - INCREMENTAR
423.238	8	Happy - INCREMENTAR
453.469	8	Happy - OBSERVAR
462.302	8	Happy - OBSERVAR
471.385	8	Happy - OBSERVAR
480.834	8	Happy - OBSERVAR
512.382	8	Happy - INCREMENTAR
521.032	8	Happy - INCREMENTAR
530.231	8	Happy - INCREMENTAR
539.564	8	Happy - INCREMENTAR
566.962	8	Negativo - REDUCIR
576.161	8	Negativo - REDUCIR
585.611	8	Negativo - REDUCIR
594.544	8	Negativo - REDUCIR
625.758	8	Neutral - OBSERVAR
634.691	8	Neutral - OBSERVAR
643.89	8	Neutral - OBSERVAR
652.44	8	Neutral - OBSERVAR
687.004	8	Happy - SUPRIMIR
695.67	8	Happy - SUPRIMIR
705.12	8	Happy - SUPRIMIR
714.319	8	Happy - SUPRIMIR
747.2	8	Negativo - SUPRIMIR
756.417	8	Negativo - SUPRIMIR
765.083	8	Negativo - SUPRIMIR
774.049	8	Negativo - SUPRIMIR
804.214	8	Negativo - OBSERVAR
813.163	8	Negativo - OBSERVAR
822.612	8	Negativo - OBSERVAR
831.262	8	Negativo - OBSERVAR
864.043	8	Happy - OBSERVAR
873.492	8	Happy - OBSERVAR
882.708	8	Happy - OBSERVAR
891.541	8	Happy - OBSERVAR
919.356	8	Negativo - SUPRIMIR
928.056	8	Negativo - SUPRIMIR
936.988	8	Negativo - SUPRIMIR
946.454	8	Negativo - SUPRIMIR
981.936	8	Happy - INCREMENTAR
991.135	8	Happy - INCREMENTAR
999.784	8	Happy - INCREMENTAR
1009.134	8	Happy - INCREMENTAR
1043.515	8	Happy - SUPRIMIR
1052.148	8	Happy - SUPRIMIR
1061.08	8	Happy - SUPRIMIR
1070.163	8	Happy - SUPRIMIR
1100.395	8	Negativo - OBSERVAR
1109.027	8	Negativo - OBSERVAR
1118.477	8	Negativo - OBSERVAR
1127.426	8	Negativo - OBSERVAR
1158.491	8	Negativo - REDUCIR
1167.69	8	Negativo - REDUCIR
1176.356	8	Negativo - REDUCIR
1185.306	8	Negativo - REDUCIR
1217.57	8	Neutral - OBSERVAR
1226.22	8	Neutral - OBSERVAR
1235.669	8	Neutral - OBSERVAR
1244.635	8	Neutral - OBSERVAR
