onset	duration	trial_type
24.382	8	Neutral - OBSERVAR
33.564	8	Neutral - OBSERVAR
42.98	8	Neutral - OBSERVAR
51.58	8	Neutral - OBSERVAR
94.327	8	Happy - INCREMENTAR
103.793	8	Happy - INCREMENTAR
112.326	8	Happy - INCREMENTAR
121.523	8	Happy - INCREMENTAR
166.722	8	Happy - OBSERVAR
176.071	8	Happy - OBSERVAR
184.687	8	Happy - OBSERVAR
193.503	8	Happy - OBSERVAR
237.434	8	Happy - SUPRIMIR
246.1	8	Happy - SUPRIMIR
255.299	8	Happy - SUPRIMIR
264.765	8	Happy - SUPRIMIR
305.229	8	Negativo - OBSERVAR
314.428	8	Negativo - OBSERVAR
323.361	8	Negativo - OBSERVAR
332.694	8	Negativo - OBSERVAR
380.757	8	Negativo - SUPRIMIR
389.707	8	Negativo - SUPRIMIR
399.039	8	Negativo - SUPRIMIR
407.672	8	Negativo - SUPRIMIR
452.836	8	Negativo - REDUCIR
462.285	8	Negativo - REDUCIR
470.818	8	Negativo - REDUCIR
479.75	8	Negativo - REDUCIR
524.681	8	Happy - INCREMENTAR
533.347	8	Happy - INCREMENTAR
542.546	8	Happy - INCREMENTAR
552.012	8	Happy - INCREMENTAR
595.843	8	Neutral - OBSERVAR
605.292	8	Neutral - OBSERVAR
614.258	8	Neutral - OBSERVAR
622.791	8	Neutral - OBSERVAR
661.005	8	Negativo - REDUCIR
670.455	8	Negativo - REDUCIR
679.121	8	Negativo - REDUCIR
688.237	8	Negativo - REDUCIR
729.934	8	Happy - SUPRIMIR
739.367	8	Happy - SUPRIMIR
748.35	8	Happy - SUPRIMIR
756.999	8	Happy - SUPRIMIR
794.03	8	Happy - OBSERVAR
802.88	8	Happy - OBSERVAR
812.313	8	Happy - OBSERVAR
820.945	8	Happy - OBSERVAR
861.043	8	Negativo - OBSERVAR
870.009	8	Negativo - OBSERVAR
878.675	8	Negativo - OBSERVAR
888.108	8	Negativo - OBSERVAR
927.889	8	Negativo - SUPRIMIR
936.538	8	Negativo - SUPRIMIR
945.971	8	Negativo - SUPRIMIR
954.92	8	Negativo - SUPRIMIR
996.768	8	Negativo - REDUCIR
1005.984	8	Negativo - REDUCIR
1014.833	8	Negativo - REDUCIR
1023.483	8	Negativo - REDUCIR
1060.914	8	Happy - INCREMENTAR
1070.113	8	Happy - INCREMENTAR
1079.062	8	Happy - INCREMENTAR
1088.512	8	Happy - INCREMENTAR
1131.126	8	Negativo - OBSERVAR
1140.559	8	Negativo - OBSERVAR
1149.525	8	Negativo - OBSERVAR
1158.724	8	Negativo - OBSERVAR
1196.205	8	Negativo - SUPRIMIR
1205.404	8	Negativo - SUPRIMIR
1214.854	8	Negativo - SUPRIMIR
1223.787	8	Negativo - SUPRIMIR
1271.05	8	Happy - SUPRIMIR
1280.383	8	Happy - SUPRIMIR
1289.033	8	Happy - SUPRIMIR
1297.982	8	Happy - SUPRIMIR
1336.363	8	Happy - OBSERVAR
1345.312	8	Happy - OBSERVAR
1354.762	8	Happy - OBSERVAR
1363.411	8	Happy - OBSERVAR
1399.776	8	Neutral - OBSERVAR
1409.225	8	Neutral - OBSERVAR
1417.858	8	Neutral - OBSERVAR
1426.791	8	Neutral - OBSERVAR
