,k,silhouette_score,gap_stat,gap_se,permutation_p,k_selected_silhouette,k_selected_gap,passes_guard
0,2,0.20922410488128662,0.27726903639557987,0.02407151300815529,,5,6,False
1,3,0.22660160064697266,0.4626379990156684,0.019321136825929584,,5,6,False
2,4,0.24839924275875092,0.6178682571440892,0.020554911602310794,,5,6,False
3,5,0.260004460811615,0.7659988851404651,0.015054017044961445,0.075,5,6,False
4,6,0.2530582845211029,0.8647182595686598,0.013690961642646134,,5,6,False
