,k,silhouette_score,gap_stat,gap_se,permutation_p,k_selected_silhouette,k_selected_gap,passes_guard
0,2,0.29032379388809204,0.3862783811141939,0.027642294465595664,,4,6,True
1,3,0.29996445775032043,0.6357443043272832,0.020230788440372773,,4,6,True
2,4,0.3216131627559662,0.8450936025429487,0.01931589496793297,0.0,4,6,True
3,5,0.32344189286231995,0.9208034810205259,0.01676732357770561,,4,6,True
4,6,0.3158697783946991,1.0238273745681783,0.01245769718160627,,4,6,True
