,k,silhouette_score,gap_stat,gap_se,permutation_p,k_selected_silhouette,k_selected_gap,passes_guard
0,2,0.24344898760318756,0.32390018854793823,0.025348758298887365,,4,6,True
1,3,0.24736656248569489,0.5182737845146304,0.020134485626888014,,4,6,True
2,4,0.285505473613739,0.7434104318597288,0.01993737299015005,0.032,4,6,True
3,5,0.2748260200023651,0.8313047239897702,0.018769451136073388,,4,6,True
4,6,0.2792946696281433,0.9317265044960044,0.02157911381387281,,4,6,True
