,k,silhouette_score,gap_stat,gap_se,permutation_p,k_selected_silhouette,k_selected_gap,passes_guard
0,2,0.23838850855827332,0.3486507036454647,0.016882336034453303,,4,6,False
1,3,0.22563321888446808,0.5137163119240489,0.020144150322287724,,4,6,False
2,4,0.2605133354663849,0.710594661297038,0.0233767871653726,0.1,4,6,False
3,5,0.253075510263443,0.8337176874179715,0.01413359553725096,,4,6,False
4,6,0.25606241822242737,0.9449266359976125,0.01786863501622208,,4,6,False
