,k,silhouette_score,gap_stat,gap_se,permutation_p,k_selected_silhouette,k_selected_gap,passes_guard
0,2,0.232966348528862,0.3407432488176432,0.020430664428456105,,5,6,False
1,3,0.22314703464508057,0.5127132893329374,0.02303909901839483,,5,6,False
2,4,0.2272888422012329,0.6661681202620575,0.01998214796302523,,5,6,False
3,5,0.24982817471027374,0.7860450067287377,0.009526250827366446,0.113,5,6,False
4,6,0.2631780505180359,0.8944682223664433,0.01644301285403155,,5,6,False
