,k,silhouette_score,gap_stat,gap_se,permutation_p,k_selected_silhouette,k_selected_gap,passes_guard
0,2,0.2026352733373642,0.2752752257469435,0.021911924205904963,,5,6,True
1,3,0.21594074368476868,0.44874428147360046,0.023137924117390057,,5,6,True
2,4,0.2573276162147522,0.6145808506170534,0.01730569672037526,,5,6,True
3,5,0.282023161649704,0.7800212699630915,0.01719623533173683,0.01,5,6,True
4,6,0.3158542513847351,0.9605763690476294,0.01944890160672073,,5,6,True
