,k,silhouette_score,gap_stat,gap_se,permutation_p,k_selected_silhouette,k_selected_gap,passes_guard
0,2,0.2304716408252716,0.299820940786395,0.020180970581011155,,3,6,True
1,3,0.29256150126457214,0.6046654508686644,0.02064866054155303,0.026,3,6,True
2,4,0.2627921402454376,0.7082983400500802,0.016019749380251646,,3,6,True
3,5,0.23759981989860535,0.8201197951139769,0.020322670016563925,,3,6,True
4,6,0.24572721123695374,0.8841342867477562,0.023178188406729333,,3,6,True
