,k,silhouette_score,gap_stat,gap_se,permutation_p,k_selected_silhouette,k_selected_gap
0,2,0.1489439606666565,0.3981474102045879,0.014980284204688074,,5,6
1,3,0.1527545154094696,0.488867471342898,0.00826186602266368,,5,6
2,4,0.17267999053001404,0.6272071821958272,0.011987320666013561,,5,6
3,5,0.17426486313343048,0.7025773233444452,0.010472251320585697,0.19,5,6
4,6,0.18300861120224,0.7773537661222965,0.014136330317021712,,5,6
