,k,silhouette_score,gap_stat,gap_se,permutation_p,k_selected_silhouette,k_selected_gap
0,2,0.12591232359409332,0.39947859366486993,0.01983995170984625,,4,6
1,3,0.14921684563159943,0.50470381190389,0.010727408437874661,,4,6
2,4,0.17476221919059753,0.6419813317186347,0.008601411171076526,0.007,4,6
3,5,0.1736021190881729,0.7045605045306949,0.01373439643392627,,4,6
4,6,0.17695116996765137,0.7648903260721238,0.01580143965034073,,4,6
