,k,silhouette_score,gap_stat,gap_se,permutation_p,k_selected_silhouette,k_selected_gap
0,2,0.08302336931228638,0.52817638393687,0.017358161733451245,,3,6
1,3,0.08351462334394455,0.5858649576983472,0.006528951145353674,0.875,3,6
2,4,0.08120966702699661,0.6230875748573945,0.01088196717455558,,3,6
3,5,0.09430478513240814,0.6490924470845356,0.012828490931993099,,3,6
4,6,0.09136063605546951,0.6842293582807559,0.01569209409604476,,3,6
