,k,silhouette_score,gap_stat,gap_se,permutation_p,k_selected_silhouette,k_selected_gap
0,2,0.10708574205636978,0.43066791852625164,0.013937185579559804,,5,6
1,3,0.10188630223274231,0.48751873836491555,0.012825498066089833,,5,6
2,4,0.1137033998966217,0.5418554885617146,0.028794745101914408,,5,6
3,5,0.12179047614336014,0.5802355968519826,0.013784972129069678,0.133,5,6
4,6,0.12718729674816132,0.632176295318394,0.018789004712584025,,5,6
