,k,silhouette_score,gap_stat,gap_se,permutation_p,k_selected_silhouette,k_selected_gap
0,2,0.12125066667795181,0.4288216536144489,0.009762444546623459,,5,6
1,3,0.13149932026863098,0.5222225476058444,0.012361838888824219,,5,6
2,4,0.15492284297943115,0.62233082625924,0.010803088066955714,,5,6
3,5,0.15996462106704712,0.718182157767461,0.013479431473202066,0.033,5,6
4,6,0.1856633722782135,0.749994486189387,0.012708184511043533,,5,6
