onset	duration	trial_type
26.898	8	Neutral - OBSERVAR
36.198	8	Neutral - OBSERVAR
44.997	8	Neutral - OBSERVAR
54.046	8	Neutral - OBSERVAR
94.11	8	Negativo - SUPRIMIR
103.177	8	Negativo - SUPRIMIR
111.976	8	Negativo - SUPRIMIR
120.475	8	Negativo - SUPRIMIR
158.006	8	Negativo - OBSERVAR
166.806	8	Negativo - OBSERVAR
175.855	8	Negativo - OBSERVAR
184.355	8	Negativo - OBSERVAR
225.752	8	Happy - OBSERVAR
235.051	8	Happy - OBSERVAR
243.851	8	Happy - OBSERVAR
252.9	8	Happy - OBSERVAR
292.298	8	Happy - INCREMENTAR
301.347	8	Happy - INCREMENTAR
309.847	8	Happy - INCREMENTAR
318.646	8	Happy - INCREMENTAR
352.044	8	Happy - SUPRIMIR
360.843	8	Happy - SUPRIMIR
369.893	8	Happy - SUPRIMIR
378.392	8	Happy - SUPRIMIR
414.29	8	Negativo - REDUCIR
422.789	8	Negativo - REDUCIR
431.589	8	Negativo - REDUCIR
440.888	8	Negativo - REDUCIR
475.886	8	Happy - INCREMENTAR
484.385	8	Happy - INCREMENTAR
493.185	8	Happy - INCREMENTAR
502.484	8	Happy - INCREMENTAR
545.603	8	Negativo - SUPRIMIR
554.086	8	Negativo - SUPRIMIR
562.885	8	Negativo - SUPRIMIR
571.918	8	Negativo - SUPRIMIR
611.615	8	Negativo - OBSERVAR
620.398	8	Negativo - OBSERVAR
629.697	8	Negativo - OBSERVAR
638.73	8	Negativo - OBSERVAR
674.594	8	Happy - SUPRIMIR
683.877	8	Happy - SUPRIMIR
692.926	8	Happy - SUPRIMIR
701.709	8	Happy - SUPRIMIR
737.323	8	Neutral - OBSERVAR
746.356	8	Neutral - OBSERVAR
754.855	8	Neutral - OBSERVAR
763.638	8	Neutral - OBSERVAR
797.436	8	Negativo - REDUCIR
806.235	8	Negativo - REDUCIR
814.734	8	Negativo - REDUCIR
824.017	8	Negativo - REDUCIR
858.515	8	Happy - OBSERVAR
867.564	8	Happy - OBSERVAR
876.363	8	Happy - OBSERVAR
885.646	8	Happy - OBSERVAR
917.177	8	Negativo - SUPRIMIR
926.21	8	Negativo - SUPRIMIR
935.009	8	Negativo - SUPRIMIR
943.492	8	Negativo - SUPRIMIR
979.823	8	Negativo - REDUCIR
988.322	8	Negativo - REDUCIR
997.605	8	Negativo - REDUCIR
1006.654	8	Negativo - REDUCIR
1046.818	8	Negativo - OBSERVAR
1056.101	8	Negativo - OBSERVAR
1065.15	8	Negativo - OBSERVAR
1073.633	8	Negativo - OBSERVAR
1105.981	8	Happy - OBSERVAR
1115.28	8	Happy - OBSERVAR
1124.329	8	Happy - OBSERVAR
1133.112	8	Happy - OBSERVAR
1164.277	8	Happy - INCREMENTAR
1172.776	8	Happy - INCREMENTAR
1182.075	8	Happy - INCREMENTAR
1191.108	8	Happy - INCREMENTAR
1226.756	8	Happy - SUPRIMIR
1235.805	8	Happy - SUPRIMIR
1244.604	8	Happy - SUPRIMIR
1253.087	8	Happy - SUPRIMIR
1292.701	8	Neutral - OBSERVAR
1301.75	8	Neutral - OBSERVAR
1310.233	8	Neutral - OBSERVAR
1319.032	8	Neutral - OBSERVAR
