onset	duration	trial_type
25.532	8	Neutral - OBSERVAR
34.082	8	Neutral - OBSERVAR
43.531	8	Neutral - OBSERVAR
52.73	8	Neutral - OBSERVAR
92.428	8	Happy - INCREMENTAR
101.077	8	Happy - INCREMENTAR
110.527	8	Happy - INCREMENTAR
119.743	8	Happy - INCREMENTAR
155.24	8	Happy - OBSERVAR
163.923	8	Happy - OBSERVAR
173.006	8	Happy - OBSERVAR
182.455	8	Happy - OBSERVAR
221.286	8	Negativo - SUPRIMIR
230.535	8	Negativo - SUPRIMIR
239.302	8	Negativo - SUPRIMIR
248.801	8	Negativo - SUPRIMIR
289.582	8	Negativo - REDUCIR
298.231	8	Negativo - REDUCIR
307.43	8	Negativo - REDUCIR
316.913	8	Negativo - REDUCIR
355.527	8	Negativo - OBSERVAR
364.477	8	Negativo - OBSERVAR
373.96	8	Negativo - OBSERVAR
382.609	8	Negativo - OBSERVAR
423.456	8	Happy - SUPRIMIR
432.789	8	Happy - SUPRIMIR
441.472	8	Happy - SUPRIMIR
450.438	8	Happy - SUPRIMIR
489.685	8	Negativo - REDUCIR
498.335	8	Negativo - REDUCIR
507.434	8	Negativo - REDUCIR
516.884	8	Negativo - REDUCIR
557.931	8	Neutral - OBSERVAR
566.597	8	Neutral - OBSERVAR
575.796	8	Neutral - OBSERVAR
585.262	8	Neutral - OBSERVAR
624.027	8	Happy - SUPRIMIR
633.226	8	Happy - SUPRIMIR
642.675	8	Happy - SUPRIMIR
651.325	8	Happy - SUPRIMIR
696.422	8	Happy - OBSERVAR
705.888	8	Happy - OBSERVAR
714.554	8	Happy - OBSERVAR
723.737	8	Happy - OBSERVAR
760.401	8	Negativo - SUPRIMIR
769.855	8	Negativo - SUPRIMIR
779.055	8	Negativo - SUPRIMIR
787.704	8	Negativo - SUPRIMIR
824.168	8	Negativo - OBSERVAR
833.601	8	Negativo - OBSERVAR
842.562	8	Negativo - OBSERVAR
851.766	8	Negativo - OBSERVAR
884.564	8	Happy - INCREMENTAR
894.042	8	Happy - INCREMENTAR
903.242	8	Happy - INCREMENTAR
912.191	8	Happy - INCREMENTAR
946.656	8	Negativo - SUPRIMIR
955.175	8	Negativo - SUPRIMIR
964.108	8	Negativo - SUPRIMIR
973.558	8	Negativo - SUPRIMIR
1005.189	8	Happy - OBSERVAR
1014.655	8	Happy - OBSERVAR
1023.871	8	Happy - OBSERVAR
1032.82	8	Happy - OBSERVAR
1068.114	8	Negativo - REDUCIR
1077.2	8	Negativo - REDUCIR
1086.116	8	Negativo - REDUCIR
1095.579	8	Negativo - REDUCIR
1137.879	8	Happy - INCREMENTAR
1146.495	8	Happy - INCREMENTAR
1155.695	8	Happy - INCREMENTAR
1165.127	8	Happy - INCREMENTAR
1198.375	8	Happy - SUPRIMIR
1207.024	8	Happy - SUPRIMIR
1215.971	8	Happy - SUPRIMIR
1225.156	8	Happy - SUPRIMIR
1261.354	8	Negativo - OBSERVAR
1270.803	8	Negativo - OBSERVAR
1280.003	8	Negativo - OBSERVAR
1288.635	8	Negativo - OBSERVAR
1323.349	8	Neutral - OBSERVAR
1332.532	8	Neutral - OBSERVAR
1341.165	8	Neutral - OBSERVAR
1350.114	8	Neutral - OBSERVAR
