onset	duration	trial_type
22.898	8	Neutral - OBSERVAR
31.398	8	Neutral - OBSERVAR
40.197	8	Neutral - OBSERVAR
49.497	8	Neutral - OBSERVAR
82.494	8	Happy - INCREMENTAR
91.544	8	Happy - INCREMENTAR
100.343	8	Happy - INCREMENTAR
108.843	8	Happy - INCREMENTAR
143.507	8	Negativo - REDUCIR
152.557	8	Negativo - REDUCIR
161.056	8	Negativo - REDUCIR
169.856	8	Negativo - REDUCIR
206.47	8	Happy - SUPRIMIR
215.769	8	Happy - SUPRIMIR
224.819	8	Happy - SUPRIMIR
233.618	8	Happy - SUPRIMIR
271.149	8	Happy - OBSERVAR
280.448	8	Happy - OBSERVAR
288.948	8	Happy - OBSERVAR
297.747	8	Happy - OBSERVAR
336.461	8	Negativo - SUPRIMIR
344.961	8	Negativo - SUPRIMIR
353.76	8	Negativo - SUPRIMIR
362.81	8	Negativo - SUPRIMIR
396.408	8	Negativo - OBSERVAR
405.707	8	Negativo - OBSERVAR
414.206	8	Negativo - OBSERVAR
423.256	8	Negativo - OBSERVAR
462.003	8	Negativo - SUPRIMIR
471.053	8	Negativo - SUPRIMIR
479.852	8	Negativo - SUPRIMIR
489.152	8	Negativo - SUPRIMIR
524.699	8	Negativo - REDUCIR
533.999	8	Negativo - REDUCIR
542.798	8	Negativo - REDUCIR
551.298	8	Negativo - REDUCIR
590.078	8	Happy - SUPRIMIR
598.866	8	Happy - SUPRIMIR
607.349	8	Happy - SUPRIMIR
616.398	8	Happy - SUPRIMIR
658.024	8	Neutral - OBSERVAR
667.312	8	Neutral - OBSERVAR
676.111	8	Neutral - OBSERVAR
685.16	8	Neutral - OBSERVAR
718.903	8	Negativo - OBSERVAR
727.941	8	Negativo - OBSERVAR
736.44	8	Negativo - OBSERVAR
745.239	8	Negativo - OBSERVAR
783.987	8	Happy - OBSERVAR
792.786	8	Happy - OBSERVAR
802.085	8	Happy - OBSERVAR
810.568	8	Happy - OBSERVAR
847.649	8	Happy - INCREMENTAR
856.698	8	Happy - INCREMENTAR
865.181	8	Happy - INCREMENTAR
874.48	8	Happy - INCREMENTAR
913.244	8	Negativo - OBSERVAR
922.277	8	Negativo - OBSERVAR
931.076	8	Negativo - OBSERVAR
940.359	8	Negativo - OBSERVAR
976.256	8	Negativo - SUPRIMIR
985.039	8	Negativo - SUPRIMIR
994.322	8	Negativo - SUPRIMIR
1002.821	8	Negativo - SUPRIMIR
1035.969	8	Happy - OBSERVAR
1044.466	8	Happy - OBSERVAR
1053.501	8	Happy - OBSERVAR
1062.3	8	Happy - OBSERVAR
1105.931	8	Negativo - REDUCIR
1115.23	8	Negativo - REDUCIR
1123.729	8	Negativo - REDUCIR
1132.762	8	Negativo - REDUCIR
1174.459	8	Happy - SUPRIMIR
1183.742	8	Happy - SUPRIMIR
1192.241	8	Happy - SUPRIMIR
1201.274	8	Happy - SUPRIMIR
1236.122	8	Happy - INCREMENTAR
1245.171	8	Happy - INCREMENTAR
1253.67	8	Happy - INCREMENTAR
1262.953	8	Happy - INCREMENTAR
1298.017	8	Neutral - OBSERVAR
1307.3	8	Neutral - OBSERVAR
1316.099	8	Neutral - OBSERVAR
1324.582	8	Neutral - OBSERVAR
